Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,VOYAGEID2,Captives arrived at 1st port,Captain's name
1717,100002,,Cartagena,Santiago de Cuba,,40,
1717,100003,,"Jamaica, place unspecified",Santiago de Cuba,,16,Cumberlege [?]
1717,100004,,Cartagena,Santiago de Cuba,,30,
1737,100008,Ranger,St. Eustatius,"Barbados, place unspecified",,8,"Smith, Dan."
1700,100009,Resolution,"Barbados, place unspecified",British Leewards,,,"Calvert, Samuel"
1730,100012,John,"Jamaica, place unspecified",Havana,,15,"Bissett, Andrew"
1730,100013,Prince of Asturias,"Jamaica, place unspecified",Havana,,147,"Blackburne, William"
1731,100016,John,"Jamaica, place unspecified",Havana,,10,"Bissett, Andrew"
1731,100017,William,"British Caribbean, colony unspecified",Havana,,14,"Inness, Alexander"
1731,100019,Saint George,"British Caribbean, colony unspecified",Havana,,232,"Fennell, Edward"
1731,100020,Adventure (a) Venture,"Jamaica, place unspecified",Havana,,60,"Kearney, Peter"
1731,100023,Adventure (a) Venture,"Jamaica, place unspecified",Havana,,30,"Kearney, Peter"
1638,100026,Desire,Providence Island,Boston,,,"Pierce, William"
1706,100027,Rebecca,"Jamaica, place unspecified",Boston,,,"Pitts, John"
1726,100028,Dolphin,"St. Kitts, port unspecified",Boston,,,"Millekin, Benjamin"
1733,100029,Orange Tree,Speightstown,Boston,,20,"Sheffield, John"
1783,100030,Patty,Warren,Caribbean (colony unspecified),,,"Gorham, Isaac"
1652,100031,Saint Anthoni,"Jamaica, place unspecified",New York,,44,"Peres, Silvester"
1659,100032,Spera Mundi,Curaçao,New York,,4,"Pietersen, Jan (a) Groot, Jan Pietersz"
1664,100033,Musch (a) Sparrow,"Americas, port unspecified",New York,,40,"Pietersen Groot, Jan"
1711,100035,Berry,"Jamaica, place unspecified",New York,,,"Scott, Walter"
1714,100036,,"Jamaica, place unspecified",New York,,90,"Vial, Nathaniel"
1761,100037,William and Mary,"Barbados, place unspecified",Delaware River,,3,"Nicholson, George"
1752,100039,Molly,"Barbados, place unspecified",Charleston,,100,"Watts, Richard"
1753,100040,Molly,"Barbados, place unspecified",Charleston,,11,Watts
1716,100042,London,Kingston,Veracruz,,,
1716,100043,Herbert,Kingston,Cartagena,,,
1765,100044,Nancy,Kingston,"South Carolina, place unspecified",,,"Jardine, William"
1765,100045,Vulcan,Kingston,"South Carolina, place unspecified",,,"Barger, Nicholas"
1765,100046,Ann,"Jamaica, place unspecified","South Carolina, place unspecified",,,"Darrell, John"
1765,100047,Free Bounty,Montego Bay,Charleston,,3,"White, Thomas"
1784,100048,Mars,Kingston,Savannah,,34,"Bunner, George"
1784,100049,Success,Kingston,Charleston,,,"Cruikshank, R"
1783,100050,Nancy,"Jamaica, place unspecified",Charleston,,,"Davis, Joseph"
1784,100051,Rambler,Kingston,Charleston,,,"Dickenson, Vincent"
1784,100052,Adventure,Kingston,Charleston,,,"Thomson, Robert"
1784,100053,Neptune,Montego Bay,Charleston,,15,"Thompson, Archibald"
1784,100054,Hawke,Montego Bay,Charleston,,3,"Kidd, George"
1784,100055,Neptune,Kingston,Charleston,,59,"Thompson, Archibald"
1787,100056,Lovely Mary,Montego Bay,Charleston,,5,"Brown, John"
1788,100057,Little Peggy,Montego Bay,Brunswick,,1,"Duncan, George"
1717,100058,Prudent Betty,"Barbados, place unspecified",Charleston,,10,"Eason, Will"
1717,100059,Morehampton,"Barbados, place unspecified",Charleston,,42,"Yewing, Wilt"
1717,100060,Morning Starr,"Barbados, place unspecified",Charleston,,,"Pooles, Michael"
1717,100061,Mary,"Barbados, place unspecified",Charleston,,19,"Palmer, Joseph"
1717,100062,Ann,"Barbados, place unspecified",Charleston,,6,"Furber, Jethroe"
1717,100063,Hopewell,"Barbados, place unspecified",Charleston,,49,"Shubrick, Richard"
1717,100064,Elizabeth,Boston,Charleston,,9,"Porter, Thomas"
1717,100065,Neptune,"St. Kitts, port unspecified",Charleston,,4,"Bucher, John"
